메뉴 이름,한식,중식,일식,양식,아시안,멕시칸,매운 맛,단 맛,신 맛,짠 맛,느끼함,비건,혼밥
가츠동,,,O,,,,,,,,,,O
간장게장,O,,,,,,,,,O,,,O
규동,,,O,,,,,,,,,,O
김밥,O,,,,,,,,,,,O,O
떡볶이,O,,,,,,O,,,,,,O
라면,O,,,,,,O,,,O,,,O
로제떡볶이,O,,,,,,,,,,,,O
마라탕,,O,,,,,O,,,,,,
샌드위치,,,,O,,,,,,,,O,O
샐러드,,,,O,,,,,,,,O,O
짜장면,,O,,,,,,,,,,,O
짬뽕,,O,,,,,O,,,,,,O
쫄면,O,,,,,,,,,,,,O
포케,,,,O,,,,,,,,,O
제육볶음,O,,,,,,,,,,,,O
보쌈,O,,,,O,,,,,,,,
족발,O,,,,,,,,,,,,
초밥,,,O,,,,,,,,,,O
회덮밥,O,,,,,,,,,,,,
불고기,O,,,,,,,,,,,,O
스테이크,,,,O,,,,,,,,,
타코,,,,,,O,,,,,,,
피자,,,,O,,,,,,,O,,
불닭볶음면,O,,,,,,O,,,,,,O
김치찌개,O,,,,,,O,,,O,,,O
치킨난반,,,O,,,,,,,,,,O
카레라이스,,,O,O,,,,,,,,,O
파스타,,,,O,,,,,,,O,O,
라멘,,,O,,,,O,,,O,,,O
감바스,,,,O,,,,,,,,,
곱창,O,,,,,,,,,,O,,
해물찜,O,,,,,,O,,,,,,
카프레제,,,,O,,,,,,,,O,O
오징어볶음,O,,,,,,,,,,,,O
김치볶음밥,O,,,,,,,,,,,O,O
불고기버거,O,,,O,,,,,,,,,O
해물파전,O,,,,,,,,,,,,
팟타이,,,,,O,,,,,,,O,O
삼겹살,O,,,,,,,,,,O,,
우동,,,O,,,,,,,,,,O
치킨샐러드,,,,O,,,,,,,,,O
짜조,,,,,O,,,,,,,,O
분짜,,,,,O,,,,,,,,O
미역국,O,,,,,,,,,,,O,O
쌀국수(pho),,,,,O,,,,,,,O,O
닭갈비,O,,,,,,O,,,,,,
샤브샤브,,,O,,,,,,,,,,
라자냐,,,,O,,,,,,,,,O
스시롤,,,O,,,,,,,,,,
마늘치킨,O,,,,,,,O,,,,,
떡국,O,,,,,,,,,,,,O
소바,,,O,,,,,,,,,,O
토마토 스파게티,,,,O,,,,,,,,O,O
채소볶음밥,O,,,,,,,,,,,O,O
닭강정,O,,,,,,,O,,,,,O
곱창전골,O,,,,,,O,,,O,O,,
비빔밥,O,,,,,,,,,,,O,O
돈까스,,,O,,,,,,,,O,,O
탕수육,,O,,,,,,O,,,O,,
비건버거,,,,O,,,,,,,,O,O
카레우동,,,O,,,,,,,,,,O
닭발,O,,,,,,O,,,,,,
잡채밥,O,O,,,,,,,,,,,O
김치전,O,,,,,,,,,,,,
야끼소바,,,O,,,,,O,,,,O,O
마파두부,,O,,,,,O,,,,,,O
해물탕,O,,,,,,O,,,,,,
감자전,O,,,,,,,,,,,O,
양념치킨,O,,,,,,O,O,,,,,
냉면,O,,,,,,,,O,,,O,O
미소라멘,,,O,,,,,,,,,O,O
고추장찌개,O,,,,,,O,,,O,,,O
브리또,,,,,,O,,,,,,,O
열무냉면,O,,,,,,,,,,,O,O
똠양꿍,,,,,O,,O,,O,,,,O
새우볶음밥,,O,,,,,,,,,,,O
간장치킨,O,,,,,,,O,,,,,
옛날통닭,O,,,,,,,,,,,,
파닭,O,,,,,,,,,,,,
된장찌개,O,,,,,,,,,O,,O,O
닭볶음탕,O,,,,,,O,,,,,,
순두부찌개,O,,,,,,,,,O,,,O
갈비찜,O,,,,,,,,,O,O,,
텐동,,,O,,,,,,,,O,,O
훠궈,,O,,,,,O,,,O,,,
미트볼 스파게티,,,,O,,,,,,,,,
유부초밥,,,O,,,,,,,,,O,O
물냉면,O,,,,,,,,O,,,O,O
비빔냉면,O,,,,,,,,O,,,O,O
곰탕,O,,,,,,,,,,,,O
도가니탕,O,,,,,,,,,,,,O
감자탕,O,,,,,,O,,,O,,,O
순대국,O,,,,,,,,,O,,,O
닭백숙,O,,,,,,,,,,,,O
오리백숙,O,,,,,,,,,,,,O
오리구이,O,O,,O,O,,,,,,,,
백반,O,,,,,,,,,,,O,O
쌈밥,O,,,,,,,,,,,O,O
콩나물국밥,O,,,,,,,,,,,O,O
선지해장국,O,,,,,,O,,,O,,,O
뚝배기불고기,O,,,,,,,,,O,,,O
꼬리곰탕,O,,,,,,,,,,,,O
소고기무국,O,,,,,,,,,,,,O
소머리국밥,O,,,,,,,,,,,,O
갈비탕,O,,,,,,,,,,,,O
설렁탕,O,,,,,,,,,,,,O
육개장,O,,,,,,O,,,,,,O
추어탕,O,,,,,,,,,,,,O
부대찌개,O,,,,,,,,,O,,,O
청국장,O,,,,,,,,,O,,O,O
비지찌개,O,,,,,,,,,,,O,O
만두전골,O,,,,,,,,,,,,
두부전골,O,,,,,,,,,,,O,
버섯전골,O,,,,,,,,,,,O,
나베,,,O,,,,,,,,,,
오리주물럭,O,,,,,,,,,,,,
너비아니,O,,,,,,,O,,,,,O
돼지두루치기,O,,,,,,,,,O,,,O
소불고기,O,,,,,,,,,O,O,,O
낙곱새,O,,,,,,O,,,O,O,,
찜닭,O,,,,,,,,,,,,
짜글이,O,,,,,,O,,,O,,,O
오돌뼈,O,,,,,,O,,,O,,,O
오삼불고기,O,,,,,,O,O,,O,,,O
콩나물불고기,O,,,,,,,,,O,,,O
막창,O,,,,,,,,,,O,,
대창,O,,,,,,,,,,O,,
꽃등심,O,,,,,,,,,,O,,
목살,O,,,,,,,,,,O,,
부채살,O,,,,,,,,,,O,,
살치살,O,,,,,,,,,,O,,
항정살,O,,,,,,,,,,O,,
차돌박이,O,,,,,,,,,,O,,
채끝,O,,,,,,,,,,O,,
갈매기살,O,,,,,,,,,,O,,
등갈비,O,,,,,,,O,,O,O,,
대패삼겹살,O,,,,,,,,,,O,,
벌집삼겹살,O,,,,,,,,,,O,,
오겹살,O,,,,,,,,,,O,,
양념갈비,O,,,,,,,O,,O,O,,
쪽갈비,O,,,,,,,O,,O,O,,
갈치구이,O,,,,,,,,,O,,,O
고등어구이,O,,,,,,,,,O,,,O
삼치구이,O,,,,,,,,,O,,,O
장어덮밥,,,O,,,,,O,,O,O,,O
장어구이,,,O,,,,,O,,O,O,,O
연어덮밥,,,O,,,,,,,,O,,O
육회비빔밥,O,,,,,,,,,,,,O
오므라이스,,,O,,,,,,,,,,O
하이라이스,,,O,,,,,,,,,,O
생선회,O,,O,,,,,,,,,,
육회,O,,,,,,,,,,,,
생선까스,,,O,,,,,,,,O,,O
새우튀김,,,O,,,,,,,,O,,O
감자튀김,,,,O,,,,,,O,O,,O
꽃게찜,O,,,,,,,,,O,,,
꽃게탕,O,,,,,,,,,O,,,
명태찜,O,,,,,,O,,,O,,,
아귀찜,O,,,,,,O,,,O,,,
폭립,,,,O,,,,O,,O,O,,
햄버거,,,,O,,,,,,,O,,O
깐풍기,,O,,,,,,O,,O,O,,
라조기,,O,,,,,O,,,O,O,,
꿔바로우,,O,,,,,,O,,,O,,
멘보샤,,O,,,,,,,,,O,,
김치말이국수,O,,,,,,,,,,,O,O
밀면,O,,,,,,O,,O,,,O,O
수제비,O,,,,,,,,,,,O,O
죽,O,O,O,,O,,,,,,,O,O
만두,,O,,,,,,,,,,,O
만두국,O,O,,,,,,,,,,,O
토스트,,,,O,,,,O,,,,O,O
팔보채,,O,,,,,,O,,,O,,
양장피,,O,,,,,,,O,,,,
유산슬,,O,,,,,,,,,O,,
양꼬치,,O,,,,,,,,O,O,,
두부김치,O,,,,,,O,,,O,,O,
골뱅이소면,,,,,,,O,,,,,,
가지덮밥,O,O,O,,,,,,,,,O,O
마라롱샤,,O,,,,,O,,,O,,,
